title_id,slug,primary_title,alt_titles,year,episode_count,status,genres,tropes,synopsis_short,spice_level,poster_ref,source_urls,last_verified,data_confidence,source
escorting-the-heiress,escorting-the-heiress,Escorting the Heiress,,2024,,complete,romance,mistaken identity;second chance,"Serena catches her boyfriend cheating with her half-sister, gets drunk, and lands in the bed of Jesse, a man who has loved her for years and is not the escort she assumed.",,,,2026-07-14,verified,zip_ingest_2026-07-14
the-lost-prima-ballerina,the-lost-prima-ballerina,The Lost Prima Ballerina,,2024,,complete,drama,hidden identity;family drama,"Kidnapped and switched at a Halloween party, the real Amelia Wilson waits tables for her fake mother until a ballet competition leads her back to her true family.",,,,2026-07-14,verified,zip_ingest_2026-07-14
find-your-way-back-to-me-my-childhood-sweetheart,find-your-way-back-to-me-my-childhood-sweetheart,"Find Your Way Back to Me, My Childhood Sweetheart",,2026,,complete,romance,childhood sweethearts;hidden identity,"The richest man in the world searches everywhere for his childhood sweetheart, never realizing he is already married to her.",,,,2026-07-14,verified,zip_ingest_2026-07-14
stop-crying-i-married-someone-better,stop-crying-i-married-someone-better,"Stop Crying, I Married Someone Better",,2025,,complete,romance,contract marriage;billionaire;second chance,"Jilted at the altar, Scarlett accepts CEO Leo Forester's contract marriage to rebuild her life, unaware of his hidden identity and intentions.",,,,2026-07-14,verified,zip_ingest_2026-07-14
campaigning-for-love,campaigning-for-love,Campaigning For Love,,2025,,complete,romance,forbidden romance;one night stand;workplace,"Campaign intern Sarah's one-night stand turns out to be her boss, senatorial candidate Christopher, and their affair could end both their careers.",,,,2026-07-14,verified,zip_ingest_2026-07-14
caution-cute-baby-alert,caution-cute-baby-alert,Caution! Cute Baby Alert!,,2024,,complete,romance,secret baby;billionaire,One night with billionaire Robert left Scarlett pregnant and alone; years later a cute baby calls her mommy and wants her to marry his chauffeur dad.,,,,2026-07-14,verified,zip_ingest_2026-07-14
the-virgin-camp-counselor,the-virgin-camp-counselor,The Virgin Camp Counselor,,2024,,complete,romance,camp romance;bad boy,Naughty Asher Matthews collides with the senior counselor on his first day at camp.,,,,2026-07-14,verified,zip_ingest_2026-07-14
my-secret-husband-is-my-boss,my-secret-husband-is-my-boss,My Secret Husband is My Boss,,2024,,complete,romance,contract marriage;billionaire;hidden identity,"Kate married a stranger to secure her inheritance; returning for a divorce two years later, she discovers her billionaire boss and crush Jack Townsend is her secret husband.",,,,2026-07-14,verified,zip_ingest_2026-07-14
why-my-contract-ex-husband-keeps-chasing-me,why-my-contract-ex-husband-keeps-chasing-me,Why My Contract Ex-husband Keeps Chasing Me,,,,complete,romance,contract marriage;second chance,Jake Hobbs contract-marriage romance.,,,,2026-07-14,verified,zip_ingest_2026-07-14
step-aside-i-m-the-king-of-capital,step-aside-i-m-the-king-of-capital,"Step Aside, I'm the King of Capital",,2025,,complete,drama,hidden identity;billionaire,Evan Adams lead vertical.,,,,2026-07-14,verified,zip_ingest_2026-07-14
summer-situationship,summer-situationship,Summer Situationship,,2024,,complete,romance,summer romance;situationship,Evan Adams' first major recurring vertical drama role.,,,,2026-07-14,verified,zip_ingest_2026-07-14
kissed-by-claw-and-fang,kissed-by-claw-and-fang,Kissed by Claw and Fang,,2026,,complete,fantasy romance,werewolf;forbidden romance,"Human teenager Ivy finds herself homeless after her family goes bankrupt, and falls into the world of shifters.",,,,2026-07-14,verified,zip_ingest_2026-07-14
the-virgin-s-bucket-list,the-virgin-s-bucket-list,The Virgin's Bucket List,,2024,,complete,romance,forbidden romance;sports romance,"Star football recruit Wayne moves into coach Mike's home, and the coach's daughter Lindsay must hide their deepening secret relationship.",,,,2026-07-14,verified,zip_ingest_2026-07-14
oops-i-m-in-love-with-my-stepbrother,oops-i-m-in-love-with-my-stepbrother,Oops! I'm in Love with My Stepbrother,,2025,,complete,romance,forbidden romance;steamy,Fan-favourite spicy Evan Adams vertical.,,,,2026-07-14,verified,zip_ingest_2026-07-14
fated-to-my-billionaire-call-boy,fated-to-my-billionaire-call-boy,Fated To My Billionaire Call Boy,,2025,,complete,romance,billionaire;hidden identity;second chance,"After ending her marriage, Diane's wild rebound night hides a truth: her callboy Eddie is Dominic, a ruthless billionaire secretly in love with her for years.",,,,2026-07-14,verified,zip_ingest_2026-07-14
the-bad-boy-who-ruined-me,the-bad-boy-who-ruined-me,The Bad Boy Who Ruined Me,,2025,,complete,romance,bad boy;college romance,Evan Adams lead vertical.,,,,2026-07-14,verified,zip_ingest_2026-07-14
foulplay-for-my-brother-s-best-friend,foulplay-for-my-brother-s-best-friend,FoulPlay For My Brother's Best Friend,,2026,,complete,romance,forbidden romance;brothers best friend,Shortical premiere (May 2026) starring Evan Adams and Bella Mraz.,,,,2026-07-14,verified,zip_ingest_2026-07-14
accidentally-slept-with-the-young-mafia-boss,accidentally-slept-with-the-young-mafia-boss,Accidentally Slept With the Young Mafia Boss,,2025,,complete,romance,mafia;one night stand;secret baby,"A nurse's one-night stand turns out to be Vincent, a young and violent mafia boss.",,,,2026-07-14,verified,zip_ingest_2026-07-14
dear-stranger-i-love-you,dear-stranger-i-love-you,Dear Stranger I Love You,,2026,,complete,romance,strangers to lovers,Evan Adams romance on the Shorts app.,,,,2026-07-14,verified,zip_ingest_2026-07-14
wild-ride-with-the-dangerous-kian,wild-ride-with-the-dangerous-kian,Wild Ride with the Dangerous Kian,,2025,,complete,romance,bad boy;dark romance,Evan Adams as Kian Wilder.,,,,2026-07-14,verified,zip_ingest_2026-07-14
the-senator-s-son,the-senator-s-son,The Senator's Son,,2025,,complete,romance,college romance;enemies to lovers;interactive,Class president Emma hides that she is a poor girl at a wealthy school; rival Zach Walker hires her as his personal maid. Interactive vertical.,,,,2026-07-14,verified,zip_ingest_2026-07-14
mated-to-the-alpha,mated-to-the-alpha,Mated to the Alpha,,2024,,complete,fantasy romance,werewolf;fated mates,Evan Adams werewolf vertical.,,,,2026-07-14,verified,zip_ingest_2026-07-14
married-the-mafioso-i-saved,married-the-mafioso-i-saved,Married The Mafioso I Saved,,2026,,complete,romance,mafia;contract marriage;hidden identity,"Betrayed and abandoned, Hannah flash-marries Alex, the street thug she saved with a single kiss, not knowing what he really is.",,,,2026-07-14,verified,zip_ingest_2026-07-14
tutoring-my-rival-boy,tutoring-my-rival-boy,Tutoring My Rival Boy,,2025,,complete,romance,enemies to lovers;college romance,Evan Adams lead vertical.,,,,2026-07-14,verified,zip_ingest_2026-07-14
you-fired-a-genius-surgeon,you-fired-a-genius-surgeon,You Fired A Genius Surgeon,,2025,,complete,drama,revenge;hidden identity,"A top surgeon is fired by his boss's son and joins a rival hospital, driving his old employer to ruin.",,,https://www.reelshort.com/movie/you-fired-a-genius-surgeon-687f2ab2dafc1bd65e0e34ca,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
mr-hills-adorable-wife,mr-hills-adorable-wife,Mr Hills' Adorable Wife,,2024,,complete,romance,billionaire;cinderella,"Overlooked by her family for a birthmark, Valerie finds unexpected love with billionaire Andrew Hills.",,,https://www.reelshort.com/movie/mr-hills-adorable-wife-66da3ef192c3e36f2f003bb4,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
dominated-by-my-dad-s-boss,dominated-by-my-dad-s-boss,Dominated by My Dad's Boss,,2025,,complete,romance,forbidden romance;age gap;hidden identity,Jayne's secret arrangement with a stranger turns risky when he proves to be the man overseeing her father's exit from the family company.,,,https://www.reelshort.com/movie/dominated-by-my-dad-s-boss-6858fb5deb198a16ec0e6f83,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
queen-of-the-court,queen-of-the-court,Queen of the Court,,2025,,complete,drama,sports romance;second chance;revenge,A former tennis star who gave up her career for her boyfriend reclaims her own potential after his betrayal.,,,https://www.reelshort.com/movie/queen-of-the-court-68c8fb9e6073aca9ca08fa5e,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
swapped-my-ex-for-his-billionaire-uncle,swapped-my-ex-for-his-billionaire-uncle,Swapped My Ex for His Billionaire Uncle,,2025,,complete,romance,billionaire;second chance;forbidden romance,"Divorced and done with love, Nina is relentlessly pursued by Damon, her ex-husband's youngest uncle.",,,https://www.reelshort.com/movie/swapped-my-ex-for-his-billionaire-uncle-6945b6f11429aa92890398aa,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
meet-my-brothers,meet-my-brothers,Meet My Brothers,,2026,,complete,drama,contract marriage;hidden identity;secret heiress,Discarded contract wife Catherine learns she is the long-lost daughter of the powerful Lane family.,,,https://www.reelshort.com/movie/meet-my-brothers-69b88396a5b6d3639400d47f,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
rented-a-billionaire-husband-for-christmas,rented-a-billionaire-husband-for-christmas,Rented a Billionaire Husband for Christmas,,2025,,complete,romance,fake dating;secret baby;second chance,"Seven years after one shared night, they fake-marry for Christmas, with a child he doesn't know is his.",,,https://www.reelshort.com/movie/rented-a-billionaire-husband-for-christmas-6930f3b01cc54679ca078825,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-billionaire-and-the-baby-trap,the-billionaire-and-the-baby-trap,The Billionaire and the Baby Trap,,2026,,complete,romance,billionaire;hidden identity;one night stand,"Trying to escape a loveless marriage, Elara lands in the arms of Cole, a secret billionaire and her husband's uncle.",,,https://www.reelshort.com/movie/the-billionaire-and-the-baby-trap-6994c7def370c522ef066652,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
american-sniper-the-last-round,american-sniper-the-last-round,American Sniper: The Last Round,,2025,,complete,action,hidden identity;revenge,A legendary sharpshooter hiding as a shooting range handyman steps up when the range faces a hostile takeover.,,,https://www.reelshort.com/movie/american-sniper-the-last-round-6923bbd68bc07cff53085ab4,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-cooking-queen-a-recipe-for-divorce,the-cooking-queen-a-recipe-for-divorce,The Cooking Queen: A Recipe for Divorce,,2026,,complete,drama,revenge;second chance;divorce,A legendary chef who gave up fame for her husband rebuilds her career after his betrayal.,,,https://www.reelshort.com/movie/the-cooking-queen-a-recipe-for-divorce-69aefec9d6db6f96240ff7b4,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-break-up-bet-with-my-billionaire-ex,the-break-up-bet-with-my-billionaire-ex,The Break-up Bet With My Billionaire Ex,,2025,,complete,romance,second chance;contract lovers,Exes Layla and Joshua signed a pact to marry if both are single in five years. Five years later he's her new head chef.,,,https://www.reelshort.com/movie/the-break-up-bet-with-my-billionaire-ex-68191e5408a393374109d3ca,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
mistaken-as-his-mate-the-luna-s-regret,mistaken-as-his-mate-the-luna-s-regret,Mistaken as His Mate: The Luna's Regret,,2025,,complete,fantasy romance,werewolf;revenge,A Luna's jealous mistake against the Alpha's pregnant sister ignites a blood feud.,,,https://www.reelshort.com/movie/mistaken-as-his-mate-the-luna-s-regret-68b929384c72c7c64907f813,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
fuel-to-our-fire-my-racer-stepbrother,fuel-to-our-fire-my-racer-stepbrother,Fuel to Our Fire: My Racer Stepbrother,,2025,,complete,romance,stepbrother;forbidden romance;bad boy,A street race dancer unknowingly falls into the orbit of the world's most feared championship racer: her stepbrother.,,,https://www.reelshort.com/movie/fuel-to-our-fire-my-racer-stepbrother-67f7913141ebfd891f0fc824,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
taming-the-lion-billionaire-on-bikes,taming-the-lion-billionaire-on-bikes,Taming the Lion: Billionaire on Bikes,,2024,,complete,romance,bad boy;billionaire;biker,"Kara falls for Leo, a dominant biker billionaire who teaches her to protect herself.",,,https://www.reelshort.com/movie/taming-the-lion-billionaire-on-bikes-65da3ce0317029c81b040cb3,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
i-m-pregnant-let-s-break-up,i-m-pregnant-let-s-break-up,"I'm Pregnant, Let's Break Up!",,2025,,complete,romance,pregnancy;second chance;secret relationship,"A pregnant talent manager walks away from her unspoken three-year relationship with an A-list star, who only then realizes what he lost.",,,https://www.reelshort.com/movie/i-m-pregnant-let-s-break-up-6791cc1fd96e3123cb0ca88d,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
heiress-crash-lands-on-her-husband,heiress-crash-lands-on-her-husband,Heiress Crash Lands on Her Husband,,2025,,complete,romance,heiress;hidden identity;revenge,"Lily out-trumps her cheating ex, his mistress, a royal suitor and a dominant mother-in-law in a marathon of revealed identities.",,,https://www.reelshort.com/movie/heiress-crash-lands-on-her-husband-677db68bc980db58d5072f41,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
mafia-boss-takes-high-school,mafia-boss-takes-high-school,Mafia Boss Takes High School,,2025,,complete,drama,mafia;body swap;second chance,A mafia boss wakes in the body of a bullied high schooler and takes a second run at finishing school.,,,https://www.reelshort.com/movie/mafia-boss-takes-high-school-6825b45960033dc2750e6ae1,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
backstage-romance-with-the-popstar,backstage-romance-with-the-popstar,Backstage Romance with the Popstar,,2026,,complete,romance,hidden identity;rockstar;second chance,A dumped assistant is secretly the super-producer who built the rockstar's career and owns his label.,,,https://www.reelshort.com/movie/backstage-romance-with-the-popstar-69770f5f0575988220032621,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
i-flash-married-my-best-friend,i-flash-married-my-best-friend,I Flash-Married My Best Friend?!,,2025,,complete,romance,flash marriage;friends to lovers;billionaire,"Best friends Chloe and Mateo wake up flash-married, and Mateo is secretly a billionaire CEO.",,,https://www.reelshort.com/movie/i-flash-married-my-best-friend-68b92943a20880cce40ac468,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
you-ve-got-male,you-ve-got-male,You've Got Male,,2024,,complete,romance,hidden identity;revenge;one night stand,"After her sham marriage collapses, Leila's escort turns out to be her longtime secret admirer.",,,https://www.reelshort.com/movie/you-ve-got-male-668480b052032ccba70655fb,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-call-boy-i-met-in-paris,the-call-boy-i-met-in-paris,The Call Boy I Met in Paris,,2024,,complete,romance,hidden identity;fake dating;billionaire,Sophie fake-marries a man she mistakes for a callboy. He's a billionaire she met seven years ago.,,,https://www.reelshort.com/movie/the-call-boy-i-met-in-paris-6651191b7812e57a1e0ddb5c,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
genius-baby-gets-daddy-back,genius-baby-gets-daddy-back,Genius Baby Gets Daddy Back,,2024,,complete,romance,secret baby;contract marriage;hidden identity,"A medical mishap, a hasty marriage and six years apart: Violet's charming new boss is her long-lost husband.",,,https://www.reelshort.com/movie/genius-baby-gets-daddy-back-675b906f095133d4f90de304,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
my-husband-regrets-divorcing-me,my-husband-regrets-divorcing-me,My Husband Regrets Divorcing Me,,2025,,complete,drama,hidden identity;divorce;independent woman,A secret CEO who lifted her husband to the top reclaims her own throne after choosing divorce.,,,https://www.reelshort.com/movie/my-husband-regrets-divorcing-me-6807568174479ad7f60dc6f3,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
love-me-two-times,love-me-two-times,Love Me Two Times,,2025,,complete,romance,fake dating;second chance;one night stand,"Six months after he vanished, Emma fake-dates Liam at her sister's wedding to shake off her ex.",,,https://www.reelshort.com/movie/love-me-two-times-67773dcf3d3252065f0e5651,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
snatched-a-billionaire-to-be-my-husband,snatched-a-billionaire-to-be-my-husband,Snatched a Billionaire to be My Husband,,2023,,complete,romance,billionaire;forbidden romance,She falls in love with her ex's uncle.,,,https://www.reelshort.com/movie/snatched-a-billionaire-to-be-my-husband-658ede55d7ffb9c594044a25,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
we-are-never-ever-getting-back-together,we-are-never-ever-getting-back-together,We Are Never Ever Getting Back Together,,2024,,complete,romance,contract marriage;second chance;boss romance,Lisa's contract marriage ends without notice. Then her ex-husband becomes her boss.,,,https://www.reelshort.com/movie/we-are-never-ever-getting-back-together-6622f270df7549dd7a0c8551,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-ceo-s-contract-wife,the-ceo-s-contract-wife,The CEO's Contract Wife,,2022,,complete,romance,contract marriage;CEO,"Jasper needed a wife urgently, Chloe needed money urgently; their contract marriage becomes the real thing.",,,https://www.reelshort.com/movie/the-ceo-s-contract-wife-636961a2c13cfc775854b1e5,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
money-guns-and-a-merry-christmas,money-guns-and-a-merry-christmas,"Money, Guns, and a Merry Christmas",,2024,,complete,drama,hidden identity;contract marriage;rags to riches,A defense-industry CEO mistaken for a broke salesman contract-marries Iris and turns the tables on her sneering relatives at Christmas dinner.,,,https://www.reelshort.com/movie/money-guns-and-a-merry-christmas-6763331070d4a48fb00bc994,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-heiress-and-her-possessive-bodyguard,the-heiress-and-her-possessive-bodyguard,The Heiress and Her Possessive Bodyguard,,2025,,complete,romance,bodyguard;heiress;second chance,"Three years after Jack saved heiress Grace from a stalker, a misunderstanding made them enemies. Now he is her live-in bodyguard.",,,https://www.reelshort.com/movie/the-heiress-and-her-possessive-bodyguard-67aaaffa39850916ba0e14d0,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
big-bad-husband-please-wake-up,big-bad-husband-please-wake-up,"Big Bad Husband, Please Wake Up!",,2022,,complete,romance,contract marriage;billionaire,Ciara marries comatose billionaire Adrian to save her sick family. Then he wakes up.,,,https://www.reelshort.com/movie/big-bad-husband-please-wake-up-6397dea32825a83a57175495,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
big-bad-husband-please-wake-up-2,big-bad-husband-please-wake-up-2,"Big Bad Husband, Please Wake Up! 2",,2023,,complete,romance,contract marriage;billionaire,Ellie sells herself into the Lyons family for five million dollars to deliver an heir. Her husband Wayne is in a coma.,,,https://www.reelshort.com/movie/big-bad-husband-please-wake-up-2-647aa5b086deef74cd0ebe66,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
fatal-attraction-a-dark-mafia-romance,fatal-attraction-a-dark-mafia-romance,Fatal Attraction: A Dark Mafia Romance,,2024,,complete,dark romance,mafia;revenge;forbidden romance,"Daisy poses as a dancer to get close to mafia boss Hogan and avenge her mother. He suspects her, and wants her anyway.",,,https://www.reelshort.com/movie/fatal-attraction-a-dark-mafia-romance-676dda478fc3bbcd4c0d1375,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
hello-let-s-get-married,hello-let-s-get-married,"Hello, Let's Get Married",,2024,,complete,romance,flash marriage,"Married moments after meeting, Maya and Ethan try to make it work despite enemies and her mysterious past.",,,https://www.reelshort.com/movie/hello-let-s-get-married-676f15658115af7a38038820,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
uncle-william-please-say-i-do,uncle-william-please-say-i-do,"Uncle William, Please Say I Do!",,2025,,complete,romance,contract marriage;age gap;forbidden romance,"After breaking off her engagement to his nephew, Alaina proposes a secret one-year contract marriage to William, who has quietly loved her all along.",,,https://www.reelshort.com/movie/uncle-william-please-say-i-do-679423dff9a4ac9055018cfe,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
escorting-the-ruthless-billionaire-doctor,escorting-the-ruthless-billionaire-doctor,Escorting the Ruthless Billionaire Doctor,,2025,,complete,romance,billionaire;one night stand,"Desperate to fund her father's surgery, Violet meets Dax, a billionaire doctor determined to pull her back from the edge.",,,https://www.reelshort.com/movie/escorting-the-ruthless-billionaire-doctor-687f2ae7a58a11d8910aca34,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
surrender-to-my-professor,surrender-to-my-professor,Surrender to My Professor,,2025,,complete,romance,forbidden romance;age gap;college romance,"Struggling student Sylvia falls into a forbidden romance with her cold, harsh professor Lawrence Calhoun.",,,https://www.reelshort.com/movie/surrender-to-my-professor-677a0db90fc9407e14077c4c,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
